N,alpha,delta_t,power,mean_beta,sd_beta,mc_iters,elapsed_s
218,0.7,1,0.976,0.12515877201789566,0.034156776530676454,500,1.3720462322235107
218,0.7,2,0.95,0.09915373025810603,0.030642382694143218,500,0.30158281326293945
218,0.7,5,0.808,0.07836497896308882,0.028336951855918523,500,0.3088974952697754
218,0.75,1,0.98,0.12903162060772133,0.03461941892283483,500,0.3116798400878906
218,0.75,2,0.962,0.10538838562027197,0.03160864847939918,500,0.30707597732543945
218,0.75,5,0.838,0.0886962834915055,0.030041338881324806,500,0.3158261775970459
218,0.8,1,0.984,0.13262355043295637,0.03503969318060404,500,0.3077685832977295
218,0.8,2,0.97,0.11151726959571706,0.03254623117700731,500,0.3009777069091797
218,0.8,5,0.892,0.1002429359394647,0.03185470359168962,500,0.29527878761291504
500,0.7,1,1.0,0.12355337010766944,0.021316082089328878,500,0.3211324214935303
500,0.7,2,1.0,0.0987711206794052,0.018721079198741105,500,0.3144822120666504
500,0.7,5,0.988,0.07786603726633862,0.018621412874149767,500,0.3090338706970215
500,0.75,1,1.0,0.12726929090119526,0.021709838962093605,500,0.31577372550964355
500,0.75,2,1.0,0.10481458826979412,0.01925648876335581,500,0.3064615726470947
500,0.75,5,0.99,0.08804649580667784,0.019780558181070496,500,0.3086721897125244
500,0.8,1,1.0,0.13070495848114205,0.022085193297963226,500,0.31855177879333496
500,0.8,2,1.0,0.11074348037097412,0.019776577138787825,500,0.3075070381164551
500,0.8,5,0.996,0.09941499591035145,0.021001998903000103,500,0.3142845630645752
